,address1,address2,label,chain
0,0x0000000000c90bc353314b6911180ed7e06019a9,,Arbitrage Bot,ethereum
1,0x0000000006adbd7c01bc0738cdbfc3932600ad63,,1inch Exchange,ethereum
2,0x0000000053d411becdb4a82d8603edc6d8b8b3bc,,1inch Exchange,ethereum
3,0x00000000af5a61acaf76190794e3fdf1289288a1,,Arbitrage Bot,ethereum
4,0x00000000b1786c9698c160d78232c78d6f6474fe,,Arbitrage Bot,ethereum
5,0x0000000f8ef4be2b7aed6724e893c1b674b9682d,,1inch Exchange,ethereum
6,0x000005edbbc1f258302add96b5e20d3442e5dd89,,1inch Exchange,ethereum
7,0x0122676358aee287246b2a84377c8ab664d013cb,,dYdX 0x Wrapper,ethereum
8,0x01da73c4ec1355f953ad0aaca3ef20e342aea92a,,Arbitrage Bot,ethereum
9,0x0358629bd27fa559b88d0f41ea3da28d057c3414,,Arbitrage Bot,ethereum
10,0x03a99d9235732d94a300bf7013acb11020484bf1,,Arbitrage Bot,ethereum
11,0x047ed17511d9287b2bf82a456aa87ba9cd45bb0d,,Totle Bancor Wrapper,ethereum
12,0x04a487afd662c4f9deacc07a7b10cfb686b682a4,,Kyber Oasis Reserve,ethereum
13,0x0681e844593a051e2882ec897ecd5444efe19ff2,,StarbitEx,ethereum
14,0x080bf510fcbf18b91105470639e9561022937712,,0x Exchange V2.1,ethereum
15,0x0a236b41add0073df05eac5fc8505ad745c7859d,,1inch Exchange,ethereum
16,0x0a6bb2770450f8bb7cc0b42ee859ac7f9177010d,,1inch Exchange,ethereum
17,0x0ac2d6f5f5afc669d3ca38f830dad2b4f238ad3f,,Oasis Bridge,ethereum
18,0x0acd0b5cf881cd8398ac563872209de1ce15df0f,,Set Protocol 0x Wrapper,ethereum
19,0x0c2b4761c4a3d6c87584948721ea242bc27584a4,,Arbitrage Bot,ethereum
20,0x0f780de58182bfbfe1cdc4c80e94d178ef2a3d2b,,Arbitrage Bot,ethereum
21,0x111111254b08ceeee8ad6ca827de9952d2a46781,,1inch Exchange,ethereum
22,0x11111254369792b2ca5d084ab5eea397ca8fa48b,,1inch Exchange,ethereum
23,0x111112549cfedf7822eb11fbd8fd485d8a10f93f,,1inch Exchange,ethereum
24,0x1200563cfaeb481e1f0542a246f0cefcde4c4753,,Arbitrage Bot,ethereum
25,0x12dfc577544d002c57fbb02c389511a37bc4490c,,Set Kyber Wrapper,ethereum
